Created_at,Place,User,Text
2021-11-12 03:37:51+00:00,,ARYAN,"I don't know why why people r questioning Sania Mirza 

If I m not wrong we didnt see her in INDvsPAK clash , it is PAKvsAUS clash so what's wrong if she's standing there and cheering 🤦🏻

(Also PAK hasn't been declared an enemy state yet by Indian Govt)"
2021-11-12 03:20:28+00:00,,𝑺𝒂𝒌𝒕𝒊𝒔𝒘𝒂𝒓𝒖𝒑 𝒏𝒂𝒚𝒂𝒌___7,"@NirmalyaParida7 @Imro_fanclub @ImRo45 According to whole cricketing world, #IndVsPak match was important but doesn't know why you are saying #IndvsNam was important."
2021-11-12 03:14:21+00:00,,Vaaibho,"#ShahinAfridi 3wkts or 3 sixes 😂😂
What would u like to forgot first
#karma #PAKVSAUS #IndVsPak #ICCT20WorldCup2021"
2021-11-12 03:09:24+00:00,,𝑺𝒂𝒌𝒕𝒊𝒔𝒘𝒂𝒓𝒖𝒑 𝒏𝒂𝒚𝒂𝒌___7,"@NirmalyaParida7 @Imro_fanclub @ImRo45 I didn't say that MR. ICC means he will score runs in each and every match . He is a big match player, Virat have some untouchable records which is impossible to match. He is known as Run machine and he proved that in #IndVsPak match."
2021-11-12 03:02:07+00:00,,Anup Thakur,The neighbours we wanted in the finals #IndVsPak the neighbours we have in the finals #AusVsNZ
2021-11-12 02:57:08+00:00,,bazil,@vikrantgupta73 Well now Indians and Pakistanis will watch the final without any stress and any biases I hoped for a IndvsPak final but sadly it was not our destiny
2021-11-12 02:56:26+00:00,,Kohlicaptain,"Moral of the story: 

Stay humble in your success. 
#IndVsPak #PAKVSAUS https://t.co/fgFbBQMN2D"
2021-11-12 02:50:46+00:00,,𝓘𝓼𝓱𝓪𝓺 𝓚𝓱𝓪𝓷,"We Love ❤ You #TeamPakistan 
You Are Our Proud We Stand With You Inshallah Next Time When You Win #IndVsPak This is Our World Cup ❤🇵🇰 https://t.co/KET8IbabTS"
2021-11-12 02:42:13+00:00,,Maahnür.,@bseblank Think about great performances team pak gave in the tournament and mend your heart to some extent. And think about #IndVsPak and fix the heart completely:))
2021-11-12 02:33:35+00:00,,Ranjan,"@AmmSyed @CherieDamour_ Feeling your pain right now...Hard luck 💔
#IndVsPak 
#PAKVSAUS"
2021-11-12 02:32:01+00:00,,Suraj Magadum,"That six by Virat Kohli to Shaheen should be the best shot of the tournament considering how well Shaheen bowled in the powerplay in this World Cup.
#IndVsPak 
#AUSvsPAK 
#T20WorldCup21 
#Cricket 
#GOAT"
